cycle,train_loss,val_loss,val_accuracy,train_sample_size,test_accuracy,test_loss,average_entropy
1.0,0.104367520949874,0.21368517754723623,0.9439843750000003,5056.0,0.9439449999999999,0.20508191583190225,2.1376961350440977
2.0,0.09304649644048815,0.2073952304435273,0.9462812499999999,5312.0,0.9471450000000001,0.19785229802079005,2.1386550188064577
3.0,0.08403618157742246,0.20278481287819644,0.9468072916666663,5568.0,0.9485775000000001,0.19517431006695304,2.13890278339386
4.0,0.07551175422306369,0.20124057049987218,0.9481458333333335,5824.0,0.9507049999999999,0.1913584135411137,2.1378560960292816
5.0,0.06905709685953824,0.1975097811554248,0.9484635416666667,6080.0,0.9520274999999998,0.18685151198465502,2.1375960409641266
6.0,0.06294676062399338,0.19346484421907617,0.9494739583333333,6336.0,0.9532324999999998,0.18332757322954835,2.1383532881736755
7.0,0.057563205171903165,0.1909763681087643,0.9504531250000001,6592.0,0.9543025000000002,0.18143279904066428,2.13852464556694
8.0,0.05220112444590298,0.1882108053378761,0.9511666666666668,6848.0,0.9556000000000001,0.17699980649441463,2.138125258684158
9.0,0.04746226431172118,0.18629912890757744,0.9521250000000002,7104.0,0.9567999999999998,0.17420893548161495,2.136684888601303
10.0,0.043481407327142174,0.1839429117417894,0.9529635416666669,7360.0,0.9570824999999996,0.17275830112335525,2.139068955183029
11.0,0.03990554268882286,0.1822486084802076,0.9537604166666667,7616.0,0.9583600000000001,0.16931936834513112,2.1382935404777528
12.0,0.035763866095249994,0.1818433107252543,0.9542239583333332,7872.0,0.9586224999999999,0.16758207007167664,2.13694651722908
13.0,0.033574325830572994,0.17863148253085093,0.9552239583333334,8128.0,0.9595650000000001,0.1644502234404363,2.138217294216156
14.0,0.03084403698897801,0.17969771888184669,0.9554218749999996,8384.0,0.9603875000000001,0.16489670688291427,2.138002574443817
15.0,0.02844313117082628,0.17783923938986848,0.9563645833333334,8640.0,0.9611450000000001,0.16331071466882202,2.137906974554062
