cycle,train_loss,val_loss,val_accuracy,train_sample_size,test_accuracy,test_loss,average_entropy
1.0,0.10159656217445534,0.21266761212671792,0.9441875000000003,5056.0,0.9443250000000001,0.20491791374209875,0.1681106235831976
2.0,0.09136479364733312,0.20901551123460135,0.9455572916666665,5312.0,0.9465850000000001,0.200227303663417,0.15652283206582068
3.0,0.083337705396651,0.20645588387052224,0.9462552083333335,5568.0,0.9481574999999998,0.19703750196026099,0.1456784348934889
4.0,0.07496075605305813,0.20057796542284395,0.9479791666666666,5824.0,0.9501950000000001,0.19231767017102525,0.13673571702092885
5.0,0.06744726422831024,0.19860518163256347,0.9483124999999999,6080.0,0.9517575,0.18824790696723603,0.12845197636634112
6.0,0.060820816969499,0.19500770087633287,0.9493541666666665,6336.0,0.9530625,0.1854109736638962,0.11853580586612225
7.0,0.05552370927208421,0.19112178651150313,0.9506302083333337,6592.0,0.9543325000000003,0.18105728779920374,0.11318485420197248
8.0,0.04993429368924323,0.18846487935042627,0.9515625000000003,6848.0,0.9554075000000001,0.17890686581042803,0.10779080800712108
9.0,0.04581390692871315,0.18741773345135151,0.9517187500000001,7104.0,0.9563274999999998,0.1776573279894944,0.10221078172326088
10.0,0.04221406060397504,0.1866279608754752,0.9523958333333333,7360.0,0.9572199999999998,0.17441776947938253,0.09657817985862494
11.0,0.038633909832687156,0.18436583670368417,0.953625,7616.0,0.9583825000000001,0.17308382354981083,0.09016011841595173
12.0,0.03524418741373991,0.18241350941872225,0.9540260416666667,7872.0,0.9591024999999996,0.17186637590483342,0.0878754761070013
13.0,0.03270881012779675,0.1812313028525095,0.9548385416666665,8128.0,0.96007,0.16889779993616685,0.08297641072422265
14.0,0.02986674271933849,0.181114169243568,0.9550729166666663,8384.0,0.9603800000000003,0.1692327056870459,0.08005344048142433
15.0,0.02707650425031143,0.17871208781679163,0.9559166666666666,8640.0,0.9611700000000001,0.16599061726389377,0.0768126156181097
