cycle,train_loss,val_loss,val_accuracy,train_sample_size,test_accuracy,test_loss,average_entropy
1.0,0.10500762519939462,0.2132690159101039,0.9438281250000002,5056.0,0.9441924999999995,0.20563457007616295,0.16928014457225798
2.0,0.0935412283007796,0.20926558231314024,0.9455677083333331,5312.0,0.9465325,0.20006525989289692,0.15705789774656295
3.0,0.08505415452039404,0.20459190293525653,0.9466770833333331,5568.0,0.9484225000000001,0.1954755604083785,0.14783636890351773
4.0,0.0770730322037547,0.2004814502640317,0.9479218749999999,5824.0,0.9504349999999999,0.19137086432342262,0.1379842245951295
5.0,0.0701473345341602,0.19651994928189861,0.948796875,6080.0,0.9519350000000001,0.18635860508753457,0.12843984235078096
6.0,0.06413603875135784,0.19407100815853723,0.949182291666667,6336.0,0.9530725,0.18302621492928978,0.12139047123491764
7.0,0.05741381143209597,0.18988928120676432,0.9502656249999999,6592.0,0.9542925,0.17806316068302633,0.11606546863913536
8.0,0.05186854303443465,0.18911967938222612,0.951041666666667,6848.0,0.9556999999999999,0.17581517680736375,0.10770110674202442
9.0,0.04753347814150222,0.18644744166110955,0.9520833333333336,7104.0,0.9565949999999999,0.17256352145380155,0.10183849334716796
10.0,0.0438494576282455,0.18475534190718707,0.9524427083333334,7360.0,0.9577025000000001,0.17135306292536145,0.09619410671293735
11.0,0.03980179185247315,0.18321435224854704,0.9530729166666667,7616.0,0.9580075000000001,0.16975835936127914,0.09325596410781145
12.0,0.03590453045432761,0.1798189781665181,0.9540312499999999,7872.0,0.9593225000000001,0.16591369133285722,0.08875689506530762
13.0,0.032765389566298736,0.1813502196909394,0.9541770833333327,8128.0,0.9596624999999998,0.16665235004602558,0.08498684242367745
14.0,0.029441613653178843,0.1775077530374595,0.9552968749999996,8384.0,0.9610825000000001,0.16328479206032015,0.08052304927259683
15.0,0.027673068906372424,0.17686021789155587,0.9559791666666666,8640.0,0.9612150000000002,0.16294262464524745,0.07724070139229297
