cycle,train_loss,val_loss,val_accuracy,train_sample_size,test_accuracy,test_loss,average_entropy
1.0,0.09394346869851262,0.20211607122172914,0.945630208333333,5056.0,0.9474349999999998,0.19105270234419322,0.16476721204817296
2.0,0.08458358638903055,0.19476353500038385,0.9480052083333332,5312.0,0.9487499999999995,0.18539397148919662,0.15326649099588394
3.0,0.07718727902881264,0.1915213496955112,0.9490989583333331,5568.0,0.9499875,0.18282679783867722,0.14455775693058967
4.0,0.06886331909489664,0.18522126014096046,0.9512239583333335,5824.0,0.9512550000000003,0.1776743108740152,0.135571295581758
5.0,0.06224169980783604,0.1836828226118038,0.9523385416666665,6080.0,0.9521425000000002,0.1766403786049842,0.12479798905551434
6.0,0.05675151644732024,0.18006808439797412,0.953239583333333,6336.0,0.9529474999999998,0.17517319187400698,0.12166262529790402
7.0,0.052268030563113944,0.1781262868444125,0.9546822916666666,6592.0,0.9538074999999999,0.17198931002040477,0.11386332362890243
8.0,0.04685212842305191,0.17503654788279285,0.9561614583333334,6848.0,0.9549700000000003,0.1695666016699008,0.10679455436766147
9.0,0.043284773475675095,0.17688755952225382,0.9561197916666666,7104.0,0.95562,0.17051526734549446,0.10249180849641562
10.0,0.0384450502123218,0.17372131205877908,0.9573854166666669,7360.0,0.9562024999999996,0.1688079838459738,0.09758329764008522
11.0,0.0339218227030365,0.17281348944098376,0.9581562499999998,7616.0,0.9568974999999998,0.16727161592978884,0.09275801610201598
12.0,0.03222127010280594,0.17276101650483905,0.9583645833333335,7872.0,0.9573074999999998,0.16783203315830247,0.09055029060691595
13.0,0.02850672564108115,0.1717237915992737,0.9591666666666667,8128.0,0.9579750000000002,0.16787051063156877,0.08720574881881475
14.0,0.025992153390694613,0.1713309286656634,0.9594270833333335,8384.0,0.9581674999999998,0.16855513504232927,0.08397589065134525
15.0,0.023774587216720208,0.17071249087108303,0.9597083333333334,8640.0,0.9588400000000001,0.16732920506423934,0.08030412532389164
